subject,day,mvc_raw,mvc_N
SFU01,control,0.5834,83.05597436
SFU02,control,0.86027,122.4726827
SFU03,control,0.7273,103.5423554
SFU04,control,0.3956,56.31975224
SFU05,control,0.46606,66.35081832
SFU07,control,0.5293,75.35400622
SFU08,control,0.5216,74.25779264
SFU09,control,0.39174,55.7702218
SFU10,control,0.8284,117.9354974
SFU11,control,0.5925,84.3514995
SFU12,control,0.523,74.4571042
SFU15,control,0.7676,109.279681
SFU16,control,0.884,125.8510136
SFU17,control,0.217,30.8932918
SFU19,control,0.1887,26.86435098
SFU20,control,1.04,148.060016
SFU21,control,0.9576,136.329107
SFU22,control,0.961,136.8131494
SFU23,control,0.803,114.3194162
SFU01,stretch,0.6634,94.44520636
SFU02,stretch,0.91281,129.9525608
SFU03,stretch,0.742,105.6351268
SFU04,stretch,0.50918,72.48961437
SFU05,stretch,0.28206,40.15558472
SFU07,stretch,0.4162,59.25247948
SFU08,stretch,0.5787,82.38685698
SFU09,stretch,0.725,103.214915
SFU10,stretch,0.9119,129.8230083
SFU11,stretch,0.6054,86.18801316
SFU12,stretch,0.374,53.2446596
SFU15,stretch,0.791,112.6110314
SFU16,stretch,0.7987,113.707245
SFU17,stretch,0.2954,42.05473916
SFU19,stretch,0.219,31.1780226
SFU20,stretch,0.806,114.7465124
SFU21,stretch,1.158,164.8591332
SFU22,stretch,0.94,133.823476
SFU23,stretch,0.849,120.8682246
