subject,day,level,time,f_sd,cst_sd,fpc_sd,f_cst_r,fpc_cst_r,f_fpc_r,w
SFU01,stretch,submax10,before,0.000637967,6.618815848,0,0,0,0,1
SFU01,stretch,submax10,before,0.00081241,4.707957164,0,0,0,0,2
SFU01,stretch,submax10,before,0.000631497,4.014247181,0,0,0,0,3
SFU01,stretch,submax10,before,0.000616488,3.390352889,0,0,0,0,4
SFU01,stretch,submax10,before,0.000678244,3.30896069,0,0,0,0,5
SFU01,stretch,submax10,before,0.00062204,5.984612852,0,0,0,0,6
SFU01,stretch,submax10,pre,0.000756548,1.971635451,0.009231836,0.595235691,0.66682538,0.741109268,1
SFU01,stretch,submax10,pre,0.000927215,3.180620215,0.0098068,0.745293751,0.921779463,0.858457705,2
SFU01,stretch,submax10,pre,0.000624774,2.460598817,0.009370061,0.665539053,0.851586013,0.727991926,3
SFU01,stretch,submax10,pre,0.000741536,1.927274017,0.00832108,0.77876357,0.73747701,0.534879226,4
SFU01,stretch,submax10,pre,0.000515159,1.715111651,0.008803981,0.674294979,0.848273343,0.675789687,5
SFU01,stretch,submax10,pre,0.00060987,1.789499523,0.006215673,0.507394528,0.347446868,0.783261015,6
SFU01,stretch,submax10,post,0.001200903,1.738308129,0.008386195,0.74849714,0.65926684,0.673528929,1
SFU01,stretch,submax10,post,0.000495927,1.081693093,0.008534005,0.603614942,0.32142067,0.70160831,2
SFU01,stretch,submax10,post,0.000717077,1.811177945,0.007269283,0.827931011,0.892163287,0.822191909,3
SFU01,stretch,submax10,post,0.000422661,1.611643106,0.009539014,0.672673995,0.869719714,0.723947206,4
SFU01,stretch,submax10,post,0.000392072,1.591850043,0.009321532,0.680621562,0.85154577,0.706719134,5
SFU01,stretch,submax10,post,0.000298076,1.293492649,0.008773253,0.312899098,0.822362074,0.327673343,6
SFU01,stretch,submax35,before,0.001556704,2.64720572,0,0,0,0,1
SFU01,stretch,submax35,before,0.001240706,7.915636259,0,0,0,0,2
SFU01,stretch,submax35,before,0.001210696,2.660222016,0.009201325,0.58760612,0.851434785,0.526359658,3
SFU01,stretch,submax35,before,0.00131385,3.880487578,0,0,0,0,4
SFU01,stretch,submax35,before,0.001006519,3.659030071,0,0,0,0,5
SFU01,stretch,submax35,before,0.002501972,4.101383711,0.00974157,0.575473582,0.883392696,0.788471766,6
SFU01,stretch,submax35,pre,0.001843041,1.958939602,0.007853544,0.606854229,0.779509297,0.499215949,1
SFU01,stretch,submax35,pre,0.001874436,2.472057768,0.009511755,0.686724028,0.975986196,0.690055285,2
SFU01,stretch,submax35,pre,0.001847198,2.971430031,0.009746015,0.844823001,0.970381538,0.826414647,3
SFU01,stretch,submax35,pre,0.001424896,2.518020537,0.009595487,0.606609467,0.708157315,0.911363616,4
SFU01,stretch,submax35,pre,0.001632225,3.103643653,0.009468952,0.794114448,0.932831309,0.859641628,5
SFU01,stretch,submax35,pre,0.002059718,2.417475256,0.009492296,0.551989049,0.924067526,0.715364611,6
SFU01,stretch,submax35,post,0.001896536,3.024726224,0.009063787,0.690965254,0.759320661,0.680088288,1
SFU01,stretch,submax35,post,0.00255948,2.835163942,0.008530271,0.691785189,0.73903455,0.892643077,2
SFU01,stretch,submax35,post,0.001871358,2.749019222,0.0093592,0.688365137,0.844780172,0.895011323,3
SFU01,stretch,submax35,post,0.001443973,2.087705236,0.007790064,0.693231892,0.88088156,0.680152799,4
SFU01,stretch,submax35,post,0.001665682,2.136009663,0.009004104,0.582893111,0.782139243,0.838160836,5
SFU01,stretch,submax35,post,0.00165773,2.137696695,0.008483155,0.592178704,0.921261658,0.768548995,6
SFU01,control,submax10,before,0.000609104,1.305789301,0.009588672,0.686704953,0.874480016,0.727951947,1
SFU01,control,submax10,before,0.000335714,1.352242263,0.009690159,0.286173723,0.862296355,0.217602744,2
SFU01,control,submax10,before,0.000373521,1.654042259,0.009730233,0.191130062,0.907140677,0.034240554,3
SFU01,control,submax10,before,0.000362608,2.25140106,0.009745779,0.754777304,0.840008376,0.779044729,4
SFU01,control,submax10,before,0.000388185,1.726203027,0.009692534,0.486534656,0.80579583,0.659378122,5
SFU01,control,submax10,before,0.000349046,2.189072116,0.009593864,0.607628708,0.849871745,0.624536192,6
SFU01,control,submax10,pre,0.000596307,7.168695499,0,0,0,0,1
SFU01,control,submax10,pre,0.000432458,6.723536202,0,0,0,0,2
SFU01,control,submax10,pre,0.000403726,1.833476986,0.009389328,0.163160782,0.489941544,-0.043539794,3
SFU01,control,submax10,pre,0.000406076,9.20656094,0,0,0,0,4
SFU01,control,submax10,pre,0.000383036,9.200945942,0,0,0,0,5
SFU01,control,submax10,pre,0.000222324,10.77209664,0,0,0,0,6
SFU01,control,submax10,post,0.000569395,1.560463395,0.00942547,0.622317715,0.739294321,0.714366314,1
SFU01,control,submax10,post,0.000344597,1.129504854,0.006934152,0.50531676,0.449123581,0.131948582,2
SFU01,control,submax10,post,0.000400288,1.363091447,0.006144131,0.524793828,0.044345151,0.087113036,3
SFU01,control,submax10,post,0.000356065,1.416656921,0.006430708,0.554840675,0.194225449,-0.179490162,4
SFU01,control,submax10,post,0.000338471,1.327377613,0.009263401,0.698468305,0.945298783,0.740090228,5
SFU01,control,submax10,post,0.000382932,1.218766697,0.00936814,0.664382047,0.885158226,0.712917293,6
SFU01,control,submax35,before,0.002005805,2.365156446,0.00909913,0.775571697,0.945547456,0.843217524,1
SFU01,control,submax35,before,0.001158631,2.206584625,0.00935614,0.743205048,0.871782475,0.809211359,2
SFU01,control,submax35,before,0.001009464,1.914822304,0.009194858,0.642282909,0.847961177,0.869939026,3
SFU01,control,submax35,before,0.000736402,1.615552235,0.008801329,0.624273766,0.764331239,0.645488154,4
SFU01,control,submax35,before,0.000613143,1.552980435,0.008958249,0.594022039,0.783238335,0.860764824,5
SFU01,control,submax35,before,0.000525195,1.250836568,0.008380141,0.721684112,0.833971357,0.718349675,6
SFU01,control,submax35,pre,0.001090795,1.097917128,0.005078885,0.55496801,0.001042738,-0.110068042,1
SFU01,control,submax35,pre,0.000761768,0.816795701,0.003622662,0.608488004,0.214466723,-0.042654828,2
SFU01,control,submax35,pre,0.000898054,1.066981923,0.008872133,0.630468631,0.798798204,0.796819311,3
SFU01,control,submax35,pre,0.001171986,0.982054413,0.008757265,0.696650094,0.825663374,0.856244258,4
SFU01,control,submax35,pre,0.001175197,1.407087493,0.008980677,0.603202582,0.79401064,0.871574381,5
SFU01,control,submax35,pre,0.000876293,1.335243443,0.008101381,0.604225136,0.915576525,0.736007374,6
SFU01,control,submax35,post,0.001232338,1.264487051,0.006950668,0.583755291,0.459743558,0.389803376,1
SFU01,control,submax35,post,0.001309759,1.166934355,0.00363963,0.58647388,0.119596843,0.586662781,2
SFU01,control,submax35,post,0.001055886,1.090931581,0.008937769,0.734094926,0.795027846,0.837831844,3
SFU01,control,submax35,post,0.001879402,1.856880166,0.009438102,0.803885363,0.928305102,0.921831637,4
SFU01,control,submax35,post,0.000707923,1.023573153,0.008353764,0.766587783,0.771209733,0.84185844,5
SFU01,control,submax35,post,0.001419158,4.965284145,0,0,0,0,6
SFU02,stretch,submax10,before,0.000555788,0.371133915,0.006978417,0.483982427,0.16093172,0.440982952,1
SFU02,stretch,submax10,before,0.00063948,0.480189991,0.009763062,0.751187631,0.961594062,0.811887886,2
SFU02,stretch,submax10,before,0.000294961,0.221312108,0.009185312,0.422774673,0.807658408,0.410782631,3
SFU02,stretch,submax10,before,0.000321893,0.726083854,0.009751537,0.183517741,0.911357459,0.317744363,4
