subject,day,level,time,cst_sd,cst_mean,cst_cv,f_sd,f_mean,f_cv,hpf_cst_sd,hpf_f_sd,bad_wins,window
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,1
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,2
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,3
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,4
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,5
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,6
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,7
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,8
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,9
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,10
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,11
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,12
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,13
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,14
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,15
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,16
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,17
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,18
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,19
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,20
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,21
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,22
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,23
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,24
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,25
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,26
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,27
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,28
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,29
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,30
SFU01,stretch,submax10,pre,2.246570089,55.00873889,3.988898088,0.001332095,0.051600797,2.581538967,2.246570089,0.001067447,0,1
SFU01,stretch,submax10,pre,1.511512594,58.54738288,3.232595325,0.000800101,0.053751833,1.488509163,1.511512594,0.000883321,0,2
SFU01,stretch,submax10,pre,1.467242357,60.34058376,4.224770161,0.00093561,0.054374942,1.720664038,1.467242357,0.000594056,0,3
SFU01,stretch,submax10,pre,1.279119497,58.69830308,2.45822187,0.000362629,0.054357844,0.667114922,1.279119497,0.0004407,0,4
SFU01,stretch,submax10,pre,2.784460123,59.49345662,6.539798496,0.001244068,0.055107254,2.257538764,2.784460123,0.000749477,0,5
SFU01,stretch,submax10,pre,3.731383194,61.46318526,7.26798319,0.001669733,0.0553772,3.015199766,3.731383194,0.001145651,0,6
SFU01,stretch,submax10,pre,1.901613328,58.83597902,4.454572727,0.000376818,0.05540866,0.68007014,1.901613328,0.000225033,0,7
SFU01,stretch,submax10,pre,3.523667885,59.65264594,5.930174089,0.000898356,0.05548036,1.61923294,3.523667885,0.000812065,0,8
